epoch: train_acc0 train_acc1 train_acc2 / test_acc0 test_acc1 test_acc2 / pure_ratio0 pure_ratio1 pure_ratio2 
84: 57.9286858974359 57.942708333333336 57.88461538461539 / 73.8681891025641 74.07852564102564 74.31891025641026 / 87.5040054321289 87.3477554321289 87.34375
85: 57.868589743589745 57.92067307692308 57.87660256410256 / 72.63621794871794 74.35897435897436 73.69791666666667 / 87.2956771850586 87.255615234375 87.38381958007812
86: 57.93469551282051 58.03084935897436 57.844551282051285 / 73.61778846153847 73.61778846153847 73.76802884615384 / 87.12339782714844 87.15544891357422 87.17147827148438
87: 58.048878205128204 57.98677884615385 57.95673076923077 / 73.56770833333333 74.47916666666667 74.31891025641026 / 87.08333587646484 87.22356414794922 87.17948913574219
88: 58.020833333333336 57.97275641025641 58.01682692307692 / 73.5576923076923 73.88822115384616 74.41907051282051 / 86.89904022216797 86.95913696289062 86.96714782714844
89: 58.181089743589745 58.13902243589744 58.25320512820513 / 73.8681891025641 74.27884615384616 73.7880608974359 / 87.23558044433594 87.30769348144531 87.05929565429688
90: 58.18509615384615 58.11498397435897 58.1630608974359 / 73.5576923076923 73.77804487179488 73.7079326923077 / 87.11138153076172 87.1394271850586 87.22356414794922
91: 58.08092948717949 58.12099358974359 58.014823717948715 / 74.05849358974359 73.54767628205128 73.93830128205128 / 87.12339782714844 87.099365234375 87.15144348144531
92: 58.20713141025641 58.31530448717949 58.19511217948718 / 73.49759615384616 73.75801282051282 73.53766025641026 / 87.09134674072266 87.07131958007812 87.09535217285156
93: 58.14302884615385 58.27323717948718 58.229166666666664 / 73.88822115384616 74.22876602564102 74.16866987179488 / 87.02323913574219 86.93509674072266 86.99519348144531
94: 58.12900641025641 58.27123397435897 58.23317307692308 / 73.89823717948718 73.8681891025641 73.48758012820512 / 86.99519348144531 87.10737609863281 86.9871826171875
95: 58.27724358974359 58.22115384615385 58.26522435897436 / 73.7880608974359 73.58774038461539 73.96834935897436 / 86.9471206665039 86.97115325927734 86.9911880493164
96: 58.28725961538461 58.23717948717949 58.32532051282051 / 73.95833333333333 74.51923076923077 73.50761217948718 / 86.79888153076172 86.92708587646484 86.93910217285156
97: 58.42347756410256 58.36939102564103 58.4755608974359 / 73.62780448717949 73.75801282051282 73.3173076923077 / 86.89102935791016 86.9911880493164 87.03125
98: 58.32331730769231 58.34535256410256 58.26722756410256 / 72.04527243589743 73.4775641025641 73.10697115384616 / 86.81089782714844 86.95513153076172 87.09535217285156
99: 58.469551282051285 58.37940705128205 58.48758012820513 / 73.4375 75.0801282051282 73.7479967948718 / 86.70673370361328 86.65464782714844 86.7227554321289
100: 58.61778846153846 58.6338141025641 58.60576923076923 / 73.71794871794872 74.53926282051282 74.24879807692308 / 86.875 87.01522827148438 86.95913696289062
101: 58.5536858974359 58.625801282051285 58.54366987179487 / 72.65625 73.98838141025641 73.22716346153847 / 86.72676849365234 86.75080108642578 86.8349380493164
102: 58.463541666666664 58.61177884615385 58.51963141025641 / 73.53766025641026 74.22876602564102 72.93669871794872 / 86.57852935791016 86.65064239501953 86.65064239501953
103: 58.52564102564103 58.61177884615385 58.567708333333336 / 73.98838141025641 73.828125 73.32732371794872 / 86.61058044433594 86.69471740722656 86.78285217285156
104: 58.62379807692308 58.68790064102564 58.727964743589745 / 73.99839743589743 74.34895833333333 74.22876602564102 / 86.53846740722656 86.61058044433594 86.53044891357422
105: 58.62179487179487 58.6338141025641 58.64383012820513 / 73.97836538461539 74.50921474358974 73.83814102564102 / 86.54247283935547 86.66266632080078 86.57852935791016
106: 58.74198717948718 58.693910256410255 58.71394230769231 / 73.98838141025641 74.3389423076923 74.14863782051282 / 86.34615325927734 86.58253479003906 86.55448913574219
107: 58.7900641025641 58.81610576923077 58.806089743589745 / 73.23717948717949 74.51923076923077 73.29727564102564 / 86.59856414794922 86.5665054321289 86.50641632080078
108: 58.880208333333336 58.83213141025641 58.8661858974359 / 73.40745192307692 74.53926282051282 73.45753205128206 / 86.40625 86.5184326171875 86.5584945678711
109: 58.884214743589745 58.91225961538461 58.91626602564103 / 72.66626602564102 74.23878205128206 74.31891025641026 / 86.64263153076172 86.5584945678711 86.61859130859375
110: 58.93429487179487 58.87219551282051 58.91025641025641 / 72.89663461538461 73.4375 73.48758012820512 / 86.60657501220703 86.48638153076172 86.55448913574219
111: 58.83613782051282 58.908253205128204 58.91626602564103 / 73.32732371794872 74.2988782051282 74.1386217948718 / 86.35016632080078 86.49038696289062 86.42628479003906
112: 58.96834935897436 58.98838141025641 59.0244391025641 / 73.87820512820512 74.22876602564102 73.95833333333333 / 86.4102554321289 86.43429565429688 86.55048370361328
113: 58.93629807692308 59.0625 59.05448717948718 / 73.83814102564102 74.02844551282051 74.01842948717949 / 86.6786880493164 86.65064239501953 86.65464782714844
114: 59.00841346153846 59.088541666666664 59.0224358974359 / 74.11858974358974 74.31891025641026 74.12860576923077 / 86.69471740722656 86.44231414794922 86.68269348144531
115: 59.0224358974359 59.138621794871796 59.06650641025641 / 74.47916666666667 73.7079326923077 74.26883012820512 / 86.44631958007812 86.53445434570312 86.49439239501953
116: 59.0625 59.08052884615385 59.064503205128204 / 74.1386217948718 74.50921474358974 73.91826923076923 / 86.65865325927734 86.5184326171875 86.45833587646484
117: 59.08253205128205 59.118589743589745 59.10657051282051 / 74.06850961538461 73.96834935897436 73.61778846153847 / 86.5584945678711 86.65064239501953 86.53044891357422
118: 59.05849358974359 59.036458333333336 59.12259615384615 / 74.2588141025641 73.97836538461539 73.92828525641026 / 86.51042175292969 86.55048370361328 86.51042175292969
119: 59.04847756410256 59.0244391025641 59.09855769230769 / 73.7079326923077 74.12860576923077 74.62940705128206 / 86.30609130859375 86.27804565429688 86.2540054321289
120: 59.03245192307692 59.06650641025641 59.12860576923077 / 74.63942307692308 74.77964743589743 73.88822115384616 / 86.39022827148438 86.60256958007812 86.37019348144531
121: 59.09655448717949 59.12059294871795 59.094551282051285 / 73.8681891025641 74.2588141025641 74.1386217948718 / 86.28205108642578 86.54247283935547 86.43830108642578
